0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:10 +0800] "GET /new_homepage/images/Opera.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:10 +0800] "GET /img/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:10 +0800] "GET /new_homepage/images/bg0.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:10 +0800] "GET /new_homepage/style/images/arrow.gif HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:10 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:15 +0800] "GET / HTTP/1.1" 200 15402
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:15 +0800] "GET /new_homepage/js/home/checkbrowser.js HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:25 +0800] "GET /login HTTP/1.1" 200 11402
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:25 +0800] "GET /new_homepage/js/home/checkbrowser.js HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:27 +0800] "POST /login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:27 +0800] "GET /admin/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:28 +0800] "GET /admin/classroom/teachBuildingAction HTTP/1.1" 200 10739
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:28 +0800] "GET /js/base/myutil.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:28 +0800] "GET /css/base/table.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:28 +0800] "GET /css/base/websocket.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:28 +0800] "GET /css/base/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:28 +0800] "GET /css/admin/repertory.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:28 +0800] "GET /css/admin/classroom_manage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:28 +0800] "GET /js/admin/teachbuilding.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:28 +0800] "GET /js/base/websocket.js HTTP/1.1" 200 3936
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:28 +0800] "GET /js/base/base.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:28 +0800] "GET /bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:28 +0800] "GET /img/chat.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:32 +0800] "GET /admin/classroomDevice/maintainRecords HTTP/1.1" 200 15168
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:32 +0800] "GET /js/admin/Calendar3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:32 +0800] "GET /jsp/admin/record_query.jsp HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:51 +0800] "GET /admin/classroomDevice/query_action?Type=3&Value=2015-09-302015-09-16 HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:53 +0800] "GET /admin/classroomDevice/query_action?Type=0&Value= HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:54 +0800] "GET /admin/classroomDevice/query_action?Type=0&Value= HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:54 +0800] "GET /admin/classroomDevice/query_action?Type=0&Value= HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:55 +0800] "GET /admin/classroomDevice/query_action?Type=0&Value= HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:55 +0800] "GET /admin/classroomDevice/query_action?Type=0&Value= HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:56 +0800] "GET /admin/classroomDevice/query_action?Type=0&Value= HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:56 +0800] "GET /admin/classroomDevice/query_action?Type=0&Value= HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:58 +0800] "GET /admin/classroom/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:58 +0800] "GET /admin/classroom/teachBuildingAction HTTP/1.1" 200 10739
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:58 +0800] "GET /js/base/websocket.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:59 +0800] "GET /admin/classroom/classroom_manage?build_id=1&build_name=yanjiaolou HTTP/1.1" 200 14196
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:38:59 +0800] "GET /js/admin/classroom_manage.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:39:01 +0800] "GET /admin/classroom/classroom_detail?classroomId=1&build_name=yanjiaolou HTTP/1.1" 200 15584
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:39:02 +0800] "GET /css/admin/classroom_detail.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:39:02 +0800] "GET /js/admin/classroom_detail.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:41:51 +0800] "GET / HTTP/1.1" 200 15402
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:41:51 +0800] "GET /new_homepage/js/home/checkbrowser.js HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:41:52 +0800] "GET /new_homepage/style/images/arrow.gif HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:41:53 +0800] "GET /login HTTP/1.1" 200 11402
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:41:53 +0800] "GET /new_homepage/js/home/checkbrowser.js HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:41:54 +0800] "POST /login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:41:54 +0800] "GET /admin/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:41:54 +0800] "GET /admin/classroom/teachBuildingAction HTTP/1.1" 200 10739
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:41:54 +0800] "GET /js/base/websocket.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2015:13:41:55 +0800] "GET /admin/classroom/classroom_manage?build_id=1&build_name=yanjiaolou HTTP/1.1" 200 14196
